index,codec,type,preset,threads,gop,has_b_frames,refs,fI,fP,fB,fT,ref_name,ref_type,infile_option,outfile_filename,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,enc_time,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,libx264,CRF,medium,4,206,2,4,51,1045,2501,3597,A01,Anime,"",videos/dist/FieldTesting_20250327/a1b36afdc3e9,40254.9658203125,2683.216796875,-crf 23 -vf yadif=0:-1:0,30.239685773849487,00:00:30,0.7907518625766694,3.9689565856464766,0.976332,0.996618,66.487445,91.311027
1,libx264,CRF,medium,4,114,2,4,29,915,2653,3597,A02,Anime,"",videos/dist/FieldTesting_20250327/65c7f298ffa6,10809.7578125,720.5302734375,-crf 23 -vf yadif=0:-1:0,17.32286763191223,00:00:17,0.9427422207883225,6.928414079600703,0.992583,0.998717,87.801003,94.650751
2,libx264,CRF,medium,4,14,2,4,231,1437,1929,3597,A03,Anime,"",videos/dist/FieldTesting_20250327/548a40f90dd2,70093.416015625,4672.115234375,-crf 23 -vf yadif=0:-1:0,40.02657198905945,00:00:40,0.5427112067920604,2.9985080918946876,0.950746,0.996131,51.918954,91.945512
3,libx264,CRF,medium,4,51,2,4,50,986,2561,3597,A04,Anime,"",videos/dist/FieldTesting_20250327/eec2b4229e21,21840.8544921875,1455.8134765625,-crf 23 -vf yadif=0:-1:0,26.08325171470642,00:00:26,0.8346294768499671,4.601420149326304,0.987722,0.998134,82.647422,93.077252
4,libx264,CRF,medium,4,119,2,4,66,1009,2522,3597,A05,Anime,"",videos/dist/FieldTesting_20250327/9fd15edfff21,32676.84765625,2178.0927734375,-crf 23 -vf yadif=0:-1:0,26.01454472541809,00:00:26,0.7884203465149352,4.6135729556985785,0.991864,0.998423,79.889057,92.917833
5,libx264,CRF,medium,4,250,2,4,19,940,2638,3597,J01,Jissha,"",videos/dist/FieldTesting_20250327/21ec3994d696,26079.7890625,1738.3623046875,-crf 23 -vf yadif=0:-1:0,22.74562382698059,00:00:22,0.853109763100758,5.276619402174131,0.992337,0.998061,87.73141,95.086376
6,libx264,CRF,medium,4,44,2,4,26,965,2606,3597,J02,Jissha,"",videos/dist/FieldTesting_20250327/dee9f4a9cb2a,30499.8681640625,2032.9853515625,-crf 23 -vf yadif=0:-1:0,46.9315390586853,00:00:46,0.8380696329822931,2.5573420860952716,0.991251,0.997972,88.039654,94.840177
7,libx264,CRF,medium,4,230,2,4,20,938,2639,3597,J03,Jissha,"",videos/dist/FieldTesting_20250327/c473f4fd4d39,64687.443359375,4311.77734375,-crf 23 -vf yadif=0:-1:0,30.94057559967041,00:00:30,0.6619929376158791,3.879048714312816,0.988507,0.996126,87.116252,94.288758
8,libx264,CRF,medium,4,250,2,4,20,955,2622,3597,J04,Jissha,"",videos/dist/FieldTesting_20250327/e8465ac83f28,67836.7275390625,4521.6943359375,-crf 23 -vf yadif=0:-1:0,30.050003051757812,00:00:30,0.6570557390249451,3.9940095777454263,0.991881,0.996919,86.699838,95.461226
9,libx264,CRF,medium,4,21,2,4,23,1015,2559,3597,J05,Jissha,"",videos/dist/FieldTesting_20250327/ca16ce3284f5,91572.4833984375,6103.814453125,-crf 23 -vf yadif=0:-1:0,32.74153280258179,00:00:32,0.5393280147502721,3.6656805508670622,0.988741,0.996198,86.688299,96.914065
10,libx265,CRF,medium,4,250,2,1,24,925,2648,3597,A01,Anime,"",videos/dist/FieldTesting_20250327/171226cacb80,26117.25,1740.859375,-crf 23 -vf yadif=0:-1:0,95.77229928970337,00:01:35,0.8642407015940907,1.2531807306510343,0.975582,0.995718,63.213944,91.301272
11,libx265,CRF,medium,4,114,2,1,28,925,2644,3597,A02,Anime,"",videos/dist/FieldTesting_20250327/9e8ead4d4a4f,6439.5380859375,429.23046875,-crf 23 -vf yadif=0:-1:0,67.98071503639221,00:01:07,0.9658906650504759,1.765500700246379,0.993123,0.998261,87.247935,94.515712
12,libx265,CRF,medium,4,22,2,1,63,1364,2170,3597,A03,Anime,"",videos/dist/FieldTesting_20250327/012a13cfb747,47966.14453125,3197.2099609375,-crf 23 -vf yadif=0:-1:0,155.09727787971497,00:02:35,0.6870693198539022,0.7738369211939425,0.94893,0.995303,52.060625,91.871203
13,libx265,CRF,medium,4,51,2,1,34,936,2627,3597,A04,Anime,"",videos/dist/FieldTesting_20250327/467bc55b9ce2,12608.875,840.451171875,-crf 23 -vf yadif=0:-1:0,81.42246079444885,00:01:21,0.9045304635022762,1.4740404407942262,0.986611,0.997766,82.178745,93.148676
14,libx265,CRF,medium,4,119,2,1,44,999,2554,3597,A05,Anime,"",videos/dist/FieldTesting_20250327/241b14653a21,22364.2978515625,1490.7041015625,-crf 23 -vf yadif=0:-1:0,90.50903153419495,00:01:30,0.8551931802098013,1.326055510323913,0.992385,0.998035,80.599148,92.938253
15,libx265,CRF,medium,4,250,2,1,17,909,2671,3597,J01,Jissha,"",videos/dist/FieldTesting_20250327/99bf72341ed1,22176.6103515625,1478.193359375,-crf 23 -vf yadif=0:-1:0,80.8240864276886,00:01:20,0.8750937923479151,1.4849533759639715,0.991123,0.997935,88.24581,95.085285
16,libx265,CRF,medium,4,44,2,1,21,913,2663,3597,J02,Jissha,"",videos/dist/FieldTesting_20250327/af51f02932f3,23676.1591796875,1578.1474609375,-crf 23 -vf yadif=0:-1:0,84.26033663749695,00:01:24,0.8742981731949302,1.4243949738338635,0.994086,0.997659,88.7979,94.787368
17,libx265,CRF,medium,4,250,2,1,18,916,2663,3597,J03,Jissha,"",videos/dist/FieldTesting_20250327/45d06cc204c0,58672.1201171875,3910.822265625,-crf 23 -vf yadif=0:-1:0,109.52513265609741,00:01:49,0.6934244123008042,1.0958215442373018,0.988505,0.995583,86.19503,94.118798
18,libx265,CRF,medium,4,250,2,1,16,854,2727,3597,J04,Jissha,"",videos/dist/FieldTesting_20250327/15d62a96e85a,64825.208984375,4320.9599609375,-crf 23 -vf yadif=0:-1:0,106.15315413475037,00:01:46,0.6722802795152755,1.1306305590095524,0.991137,0.996652,86.992026,95.243098
19,libx265,CRF,medium,4,63,2,1,17,906,2674,3597,J05,Jissha,"",videos/dist/FieldTesting_20250327/cf36384eba0e,81911.3720703125,5459.84765625,-crf 23 -vf yadif=0:-1:0,131.42990255355835,00:02:11,0.5879299874179909,0.9131864033079629,0.985913,0.995388,84.068148,96.641427
