index,codec,type,preset,threads,gop,has_b_frames,refs,fI,fP,fB,fT,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,32370.09619140625,2157.6462890625,-crf 31 -vf yadif=0:-1:0,59.11696853637695,0.8219436180177361,2.11349841985452,0.9841109999999998,0.9971963999999998,79.1782699,94.926575
1,libx265,CRF,medium,4,250,2,1,63,1364,2727,3597,36675.7576171875,2444.642578125,-crf 23 -vf yadif=0:-1:0,100.2974396944046,0.7979950974987462,1.2641601159562144,0.9847394999999999,0.9968299999999999,79.95993109999999,93.9651092
2,h264_qsv,CQP,veryslow,4,256,4,8,15,225,3357,3597,32774.0732421875,2184.573828125,"-q:v 22 -bf 15 -refs 8 -vf vpp_qsv=deinterlace=advanced,setfield=mode=prog",9.031563925743104,0.818418998327574,13.368825335018006,0.9792418999999999,0.9959699000000001,77.26365200000001,93.83194560000001
3,hevc_qsv,CQP,veryslow,4,248,4,1,15,0,3582,3597,215284.56103515625,14349.9119140625,"-q:v 20 -bf 15 -refs 8 -vf vpp_qsv=deinterlace=advanced,format=p010le,setfield=mode=prog",30.34444375038147,-0.18695503224288856,3.9563816214945553,0.9877414999999999,0.9989085,82.9412516,97.1087625
4,libx264,CRF,medium,4,250,2,4,231,1437,2653,3597,45635.21533203125,3041.840234375,-crf 23 -vf yadif=0:-1:0,30.309619617462157,0.7448811200996102,4.248357219336145,0.9851963999999999,0.9973298999999999,80.50193340000001,94.04929770000001
5,h264_qsv,ICQ,veryslow,4,256,4,8,15,225,3357,3597,41406.8525390625,2759.99638671875,"-global_quality 25 -bf 15 -refs 8 -vf vpp_qsv=deinterlace=advanced,setfield=mode=prog",9.278102207183839,0.7721247402638933,13.010907394475051,0.9812002000000002,0.9961679,78.23068079999999,93.92260530000001
6,av1_qsv,CQP,veryslow,4,248,0,1,15,3582,0,3597,49404.76552734375,3293.10166015625,"-q:v 53 -vf vpp_qsv=deinterlace=advanced,format=p010le,setfield=mode=prog",32.10480780601502,0.7276814811037763,3.7391561420883277,0.9849114999999999,0.9974696999999999,80.34304360000002,95.2634546
7,av1_qsv,ICQ,veryslow,4,248,0,1,15,3582,0,3597,43167.63203125,2877.36201171875,"-global_quality 24 -vf vpp_qsv=deinterlace=advanced,format=p010le,setfield=mode=prog",32.29318716526031,0.7613145357506037,3.71759079870678,0.9847702,0.9973154,80.60036649999999,94.9587935
8,h264_qsv,LA_ICQ,veryslow,4,256,4,8,15,225,3357,3597,41406.8525390625,2759.99638671875,"-global_quality 25 -look_ahead 1 -bf 15 -refs 8 -vf vpp_qsv=deinterlace=advanced,setfield=mode=prog",9.276257801055909,0.7721247402638933,13.01422038833098,0.9812002000000002,0.9961679,78.23068079999999,93.92260530000001
9,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3582,3597,38546.97392578125,2569.36953125,"-global_quality 21 -bf 15 -refs 8 -vf vpp_qsv=deinterlace=advanced,format=p010le,setfield=mode=prog",30.499410390853882,0.7869866597548238,3.936827700831728,0.9846440999999999,0.997088,78.8580278,94.3781352
